ffrwyth,fruit
siocled,chocolate
gorffen,to finish
dechrau,to start
darllen,to read
coginio,to cook
llythyr,lettre
gwerthu,to sell
wythnos,week
glawiog,rainy
porffor,purple
gwanwyn,spring
actores,actress
gwyliau,holidays
cymylog,cloudy
stormus,stormy
deuddeg,twelve
celwydd,to lie
adolygu,to revise
cerdded,to walk
gwrando,to listen
mehefin,june
rhagfyr,december
carchar,prison
bochdew,hamster
hwyaden,ducks
brogaod,frogs
gwyddau,geese
madfall,lizard
anifail,animal
tylluan,owl
gogledd,north
dwyrain,east
eistedd,to sit
allanfa,exit
coedwig,forest
ffermwr,farmer
swyddfa,office
plismon,policeman
heddwas,police officer
cyfongl,rectangle
diwetha,last
cefnder,cousin
chwisgi,whiskey
rhostio,to roast
crempog,crepes
trowsus,trousers
siwmper,jumper
dannedd,teeth
llygaid,eyes
